Player,First,Last,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,MIN,G,A,PTS,PIM
Matt Climie,2009,2011,5,4,2,2,0,15,139,124,0.892,3.25,0,277,0,0,0,0
Dan Cloutier,1998,2008,351,9,139,142,37,874,8625,7751,0.899,2.77,15,18927,0,5,5,147
Jacques Cloutier,1982,1994,255,,82,102,24,778,5448,4764,0.874,3.64,3,12826,0,7,7,51
Gerald Coleman,2006,2006,2,,0,0,1,2,17,15,0.882,2.79,0,43,0,0,0,0
Les Colvin,1949,1949,1,,0,1,0,4,,,,4,0,60,0,0,0,0
Ty Conklin,2002,2012,215,120,96,67,21,516,5484,4968,0.906,2.69,17,11527,0,3,3,37
Alec Connell*,1925,1937,417,,193,156,67,830,,,,1.91,81,26050,0,0,0,4
Jim Corsi,1980,1980,26,,8,14,3,83,,,,3.65,0,1366,0,3,3,6
Maurice Courteau,1944,1944,6,,2,4,0,33,,,,5.5,0,360,0,0,0,0
Marcel Cousineau,1997,2000,26,,4,10,1,51,509,458,0.9,2.92,1,1047,0,1,1,0
Wayne Cowley,1994,1994,1,,0,1,0,3,35,32,0.914,3.16,0,57,0,0,0,0
Abbie Cox,1930,1936,5,,1,1,2,11,,,,2.51,0,263,0,0,0,0
Jim Craig,1980,1984,30,,11,10,7,100,56,47,0.839,3.78,0,1588,0,1,1,11
Corey Crawford,2006,2015,264,249,146,76,34,594,7079,6485,0.916,2.35,12,15177,0,3,3,10
Jiri Crha,1980,1981,69,,28,27,11,261,,,,3.97,0,3942,0,1,1,12
Roger Crozier,1964,1977,518,,206,197,70,1446,,,,3.04,30,28567,0,3,3,42
Wilf Cude,1931,1941,282,,100,132,49,798,,,,2.72,24,17586,0,0,0,0
John Curry,2009,2015,8,5,3,2,1,20,165,145,0.879,3.68,0,326,0,0,0,0
Don Cutts,1980,1980,6,,1,2,1,16,,,,3.57,0,269,0,0,0,6
Claude Cyr,1959,1959,1,,0,0,0,1,,,,3,0,20,0,0,0,0
Corrie D'Alessio,1993,1993,1,,0,0,0,0,3,3,1,0,0,11,0,0,0,0
Marc D'Amour,1986,1989,16,,2,4,2,32,324,292,0.901,3.32,0,579,0,0,0,22
Doug Dadswell,1987,1988,27,,8,8,3,99,701,602,0.859,4.41,0,1346,0,2,2,2
Byron Dafoe,1993,2004,415,,171,170,56,1051,10897,9846,0.904,2.69,26,23478,0,8,8,68
Joe Daley,1969,1972,105,,34,44,19,326,,,,3.35,3,5836,0,1,1,16
Nick Damore,1942,1942,1,,1,0,0,3,,,,3,0,60,0,0,0,0
Jean-Francois Damphousse,2002,2002,6,,1,3,0,12,115,103,0.896,2.45,0,294,0,0,0,0
Yann Danis,2006,2013,53,35,17,21,4,123,1363,1240,0.91,2.75,3,2681,0,0,0,0
Scott Darling,2015,2015,11,10,7,3,0,20,325,305,0.938,1.84,1,653,0,0,0,0
Cleon Daskalakis,1985,1987,12,,3,4,1,41,255,214,0.839,4.86,0,506,0,0,0,0
John Davidson,1974,1983,301,,123,124,39,1004,,,,3.52,7,17109,0,7,7,60
Bob DeCourcy,1948,1948,1,,0,1,0,6,,,,12.41,0,29,0,0,0,0
Norm Defelice,1957,1957,10,,3,5,2,30,,,,3,0,600,0,0,0,2
Denis DeJordy,1963,1974,316,,124,128,51,929,,,,3.13,15,17798,0,3,3,2
Mark Dekanich,2011,2011,1,0,0,0,0,3,25,22,0.88,3.6,0,50,0,0,0,0
Matt DelGuidice,1991,1992,11,,2,5,1,28,246,218,0.886,3.87,0,434,0,0,0,2
Marc Denis,1997,2009,349,4,112,179,31,982,10044,9062,0.902,3.02,16,19526,0,6,6,32
Philippe DeRouville,1995,1997,3,,1,2,0,9,93,84,0.903,3.16,0,171,0,0,0,0
Cedrick Desjardins,2011,2014,6,4,2,4,0,12,149,137,0.919,2.42,0,298,0,0,0,2
Gerry Desjardins,1969,1978,331,,122,153,44,1042,,,,3.29,12,19014,0,3,3,39
Jeff Deslauriers,2009,2012,62,58,23,32,4,193,1944,1751,0.901,3.24,3,3579,0,4,4,8
Patrick DesRochers,2002,2003,11,,2,6,1,33,258,225,0.872,3.67,0,540,0,0,0,2
Bill Dickie,1942,1942,1,,1,0,0,3,,,,3,0,60,0,0,0,0
Connie Dion,1944,1945,38,,23,11,4,119,,,,3.13,1,2280,0,0,0,0
Michel Dion,1980,1985,227,,60,118,32,898,1253,1072,0.856,4.24,2,12695,0,6,6,24
Rick DiPietro,2001,2013,318,108,130,136,36,871,8915,8044,0.902,2.87,16,18199,0,19,19,129
Reinhard Divis,2002,2006,28,,6,9,3,67,560,493,0.88,3.32,0,1212,0,0,0,2
Dolly Dolson,1929,1931,93,,35,41,17,192,,,,1.98,16,5820,0,0,0,0
Louis Domingue,2015,2015,5,3,1,1,1,10,113,103,0.912,2.64,0,227,0,0,0,0
Rob Dopson,1994,1994,2,,0,0,0,3,23,20,0.87,4,0,45,0,0,0,0
Bruce Dowie,1984,1984,2,,0,1,0,4,43,39,0.907,3.33,0,72,0,0,0,0
Tom Draper,1989,1996,53,,19,23,5,173,1407,1234,0.877,3.7,1,2807,0,3,3,4
Chris Driedger,2015,2015,1,,0,0,0,0,10,10,1,0,0,23,0,0,0,0
Dave Dryden,1962,1980,203,,66,76,31,555,,,,3.19,9,10424,0,4,4,4
Ken Dryden*,1971,1979,397,,258,57,74,870,,,,2.24,46,23352,0,19,19,12
Wade Dubielewicz,2004,2010,43,20,18,16,2,97,1131,1034,0.914,2.65,0,2196,0,0,0,0
