Player,First,Last,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,MIN,G,A,PTS,PIM
Gerry McNeil,1948,1957,276,,119,105,52,649,,,,2.36,28,16535,0,0,0,2
Gord McRae,1973,1978,71,,30,22,10,221,,,,3.49,1,3799,0,0,0,6
Rob McVicar,2006,2006,1,,0,0,0,0,0,0,,0,0,3,0,0,0,0
Roland Melanson,1981,1992,291,,129,106,33,995,5932,5192,0.875,3.63,6,16452,0,12,12,109
Gilles Meloche,1971,1988,788,,270,351,131,2756,5321,4657,0.875,3.64,20,45401,0,22,22,111
Corrado Micalef,1982,1986,113,,26,59,15,409,1689,1449,0.858,4.24,2,5794,0,5,5,43
Alfie Michaud,2000,2000,2,,0,1,0,5,27,22,0.815,4.35,0,69,0,0,0,0
Olivier Michaud,2002,2002,1,,0,0,0,0,14,14,1,0,0,18,0,0,0,0
Lindsay Middlebrook,1980,1983,37,,3,23,6,152,,,,4.94,0,1845,0,1,1,2
Al Millar,1958,1958,6,,1,4,1,25,,,,4.17,0,360,0,0,0,0
Greg Millen,1979,1992,604,,215,284,89,2281,10190,8921,0.875,3.87,17,35377,0,14,14,72
Joe Miller,1928,1931,127,,24,87,16,383,,,,2.92,16,7871,0,0,0,0
Ryan Miller,2003,2015,603,466,322,209,59,1518,17861,16343,0.915,2.58,35,35255,0,9,9,24
Mike Minard,2000,2000,1,,1,0,0,3,36,33,0.917,3,0,60,0,0,0,0
Eddie Mio,1980,1986,192,,64,73,30,705,1304,1099,0.843,4.06,4,10428,0,11,11,47
Mike Mitchell,1920,1922,22,,10,9,0,88,,,,4.44,0,1190,0,0,0,0
Mike Moffat,1982,1984,19,,7,7,2,70,81,66,0.815,4.29,0,979,0,0,0,2
Al Montoya,2009,2015,110,87,42,33,15,267,2862,2595,0.907,2.7,5,5942,0,1,1,8
Andy Moog,1981,1998,713,,372,209,88,2097,17424,15546,0.892,3.13,28,40151,0,24,24,230
Alfie Moore,1937,1940,21,,7,14,0,81,,,,3.77,1,1290,0,0,0,0
Robbie Moore,1979,1983,6,,3,1,1,8,,,,1.87,2,257,0,1,1,0
Jean-Guy Morissette,1964,1964,1,,0,1,0,4,,,,6.67,0,36,0,0,0,0
Mike Morrison,2006,2007,29,,11,7,3,67,519,452,0.871,3.28,0,1226,0,1,1,2
Tyler Moss,1998,2003,30,,6,16,1,81,746,665,0.891,3.25,0,1496,0,1,1,0
Johnny Mowers,1941,1947,152,,65,61,26,399,,,,2.56,15,9350,0,1,1,2
Jerome Mrazek,1976,1976,1,,0,0,0,1,,,,10,0,6,0,0,0,0
Petr Mrazek,2013,2015,36,29,18,12,1,74,875,801,0.915,2.32,4,1912,0,0,0,0
Adam Munro,2004,2006,17,,4,10,3,51,451,400,0.887,3.3,1,927,0,1,1,2
Hal Murphy,1953,1953,1,,1,0,0,4,,,,4,0,60,0,0,0,0
Mike Murphy,2012,2012,2,0,0,1,0,0,9,9,1,0,0,36,0,0,0,0
Mickey Murray,1930,1930,1,,0,1,0,4,,,,4,0,60,0,0,0,0
Jason Muzzatti,1994,1998,62,,13,25,10,167,1578,1411,0.894,3.32,1,3014,0,1,1,61
Jarmo Myllys,1989,1992,39,,4,27,1,161,1140,979,0.859,5.23,0,1846,0,1,1,4
Sergei Mylnikov,1990,1990,10,,1,7,2,47,330,283,0.858,4.96,0,568,0,0,0,0
Phil Myre,1970,1983,439,,149,198,76,1482,,,,3.53,14,25220,0,10,10,101
Evgeni Nabokov,2000,2015,697,339,353,227,86,1630,18398,16768,0.911,2.44,59,40152,1,15,16,118
Gregg Naumenko,2001,2001,2,,0,1,0,7,29,22,0.759,6,0,70,0,0,0,2
Michal Neuvirth,2009,2015,168,149,66,63,17,422,4776,4354,0.912,2.73,7,9258,0,2,2,2
Cam Newton,1971,1973,16,,4,7,1,51,,,,3.76,0,814,0,1,1,6
Antti Niemi,2009,2015,335,327,188,99,40,780,9254,8474,0.916,2.4,32,19521,0,8,8,6
Antero Niittymaki,2004,2011,234,119,95,86,31,645,6599,5954,0.902,2.95,5,13113,0,3,3,6
Anders Nilsson,2012,2014,23,20,9,9,2,67,660,593,0.898,3.05,1,1319,0,0,0,2
Cristopher Nilstorp,2013,2014,6,5,1,3,1,18,163,145,0.89,3.27,0,330,0,0,0,0
Mika Noronen,2001,2006,71,,23,32,6,163,1642,1479,0.901,2.68,3,3652,1,0,1,4
Fredrik Norrena,2007,2009,100,35,35,45,11,243,2409,2166,0.899,2.79,5,5235,0,1,1,6
Jack Norris,1965,1971,58,,20,25,4,202,,,,3.89,2,3119,0,0,0,0
Pasi Nurminen,2002,2004,125,,48,54,12,338,3519,3181,0.904,2.87,5,7059,0,5,5,39
Mike O'Neill,1992,1997,21,,0,9,2,61,433,372,0.859,4.28,0,855,0,0,0,0
Bill Oleschuk,1976,1980,55,,7,28,10,188,,,,3.98,1,2835,0,0,0,14
Dan Olesevich,1962,1962,1,,0,0,1,2,,,,4.14,0,29,0,0,0,0
Joni Ortio,2014,2015,14,14,8,5,0,30,324,294,0.907,2.33,1,774,0,2,2,0
Chris Osgood,1994,2011,744,115,401,216,95,1768,18629,16861,0.905,2.49,50,42564,1,19,20,137
Maxime Ouellet,2001,2006,12,,2,6,2,34,350,316,0.903,3.08,1,663,0,1,1,2
Ted Ouimet,1969,1969,1,,0,1,0,2,,,,2,0,60,0,0,0,0
Paul Pageau,1981,1981,1,,0,1,0,8,,,,8,0,60,0,0,0,0
Marcel Paille,1958,1965,107,,32,52,22,362,,,,3.42,2,6342,0,1,1,2
Mike Palmateer,1977,1984,356,,149,138,52,1183,986,837,0.849,3.53,17,20131,0,25,25,118
Darren Pang,1985,1989,81,,27,35,7,287,2438,2151,0.882,4.05,0,4252,0,9,9,6
Bernie Parent*,1966,1979,608,,271,198,121,1493,,,,2.55,54,35136,0,12,12,112
Bob Parent,1982,1983,3,,0,2,0,15,,,,5.63,0,160,0,0,0,0
Rich Parent,1998,2001,32,,7,11,5,82,697,615,0.882,3.15,1,1561,0,0,0,4
Dave Parro,1981,1984,77,,21,36,10,274,0,0,,4.09,2,4015,0,2,2,6
Steve Passmore,1999,2004,93,,23,44,12,235,2245,2010,0.895,2.79,2,5045,0,2,2,21
Dimitri Patzold,2008,2008,3,0,0,0,0,4,20,16,0.8,5.45,0,44,0,0,0,0
Ondrej Pavelec,2008,2015,333,315,132,140,42,902,9696,8794,0.907,2.89,13,18755,0,6,6,10
Alexander Pechurski,2010,2010,1,0,0,0,0,1,13,12,0.923,1.67,0,36,0,0,0,0
Pete Peeters,1979,1991,489,,246,155,51,1424,7499,6616,0.882,3.08,21,27699,0,14,14,212
Jean-Marc Pelletier,1999,2004,7,,1,4,0,23,161,138,0.857,3.9,0,354,0,0,0,0
Marcel Pelletier,1951,1963,8,,1,6,0,32,,,,4.86,0,395,0,0,0,2
Steve Penney,1984,1988,91,,35,38,12,313,2226,1913,0.859,3.62,1,5194,0,1,1,17
Bob Perreault,1956,1963,31,,8,16,7,103,,,,3.38,3,1827,0,0,0,0
Justin Peters,2010,2015,80,67,25,37,9,223,2243,2020,0.901,3.08,3,4349,0,2,2,8
Jim Pettie,1977,1979,21,,9,7,2,71,,,,3.68,1,1157,0,0,0,23
Calvin Pickard,2015,2015,16,13,6,7,3,35,511,476,0.932,2.35,0,895,0,0,0,0
Timo Pielmeier,2011,2011,1,0,0,0,0,5,12,7,0.583,7.5,0,40,0,0,0,0
Frank Pietrangelo,1988,1994,141,,46,59,6,490,3845,3355,0.873,4.12,1,7141,0,3,3,36
Jacques Plante*,1953,1973,837,,437,246,145,1964,,,,2.38,82,49533,0,8,8,92
Michel Plasse,1971,1982,299,,92,136,54,1058,,,,3.79,2,16760,0,9,9,62
Justin Pogge,2009,2009,7,6,1,4,1,27,173,146,0.844,4.35,0,372,0,0,0,0
Tomas Popperle,2007,2007,2,,0,0,0,1,14,13,0.929,1.33,0,45,0,0,0,0
Felix Potvin,1992,2004,635,,266,260,85,1694,17864,16170,0.905,2.76,32,36765,0,16,16,82
Kevin Poulin,2011,2015,50,44,18,25,3,140,1392,1252,0.899,3.07,0,2735,0,1,1,0
Carey Price,2008,2015,430,418,220,152,49,1026,12763,11737,0.92,2.43,34,25337,0,11,11,37
Claude Pronovost,1956,1959,3,,1,1,0,7,,,,3.5,1,120,0,0,0,2
Martin Prusek,2002,2006,57,,31,12,4,114,1246,1132,0.909,2.36,3,2898,0,1,1,0
Daren Puppa,1986,2000,429,,179,161,54,1204,11680,10476,0.897,3.03,19,23819,0,18,18,48
Chris Pusey,1986,1986,1,,0,0,0,3,12,9,0.75,4.5,0,40,0,0,0,0
Jonathan Quick,2008,2015,401,391,209,137,45,891,10488,9597,0.915,2.28,37,23442,0,9,9,30
Antti Raanta,2014,2015,39,34,20,9,5,88,999,911,0.912,2.41,3,2189,0,1,1,0
Andre Racicot,1990,1994,68,,26,23,8,196,1632,1436,0.88,3.5,2,3357,0,2,2,6
Bruce Racine,1996,1996,11,,0,3,0,12,101,89,0.881,3.13,0,230,0,0,0,2
Jamie Ram,1996,1996,1,,0,0,0,0,9,9,1,0,0,27,0,0,0,0
Karri Ramo,2007,2015,121,106,43,45,17,320,3354,3034,0.905,2.92,4,6576,0,3,3,16
Bill Ranford,1986,2000,647,,240,279,76,2042,18269,16227,0.888,3.41,15,35936,0,24,24,65
Tuukka Rask,2008,2015,260,240,133,79,34,536,7286,6750,0.926,2.16,26,14876,0,6,6,16
Andrew Raycroft,2001,2012,280,79,113,114,27,732,7339,6607,0.9,2.89,9,15191,0,3,3,14
Alain Raymond,1988,1988,1,,0,1,0,2,20,18,0.9,3,0,40,0,0,0,0
Chuck Rayner*,1941,1953,424,,138,208,77,1294,,,,3.05,25,25491,0,0,0,26
Daryl Reaugh,1985,1991,27,,8,9,1,72,628,556,0.885,3.47,1,1246,0,0,0,4
Pokey Reddick,1987,1994,132,,46,58,16,443,3487,3044,0.873,3.71,0,7162,0,1,1,20
Greg Redquest,1978,1978,1,,0,0,0,3,,,,13.85,0,13,0,0,0,0
Dave Reece,1976,1976,14,,7,5,2,43,,,,3.32,2,777,0,0,0,0
Jeff Reese,1988,1999,174,,53,65,17,529,4381,3852,0.879,3.66,5,8667,0,8,8,30
James Reimer,2011,2015,172,154,73,63,15,447,5087,4640,0.912,2.91,11,9218,0,2,2,6
Glenn Resch,1974,1987,571,,231,224,82,1761,4232,3670,0.867,3.27,26,32279,0,16,16,68
Herb Rheaume,1926,1926,31,,10,20,1,92,,,,2.92,0,1889,0,0,0,0
Damian Rhodes,1991,2002,309,,99,140,48,820,8105,7285,0.899,2.84,12,17339,1,6,7,34
Nick Ricci,1980,1983,19,,7,12,0,79,,,,4.36,0,1087,0,0,0,2
Terry Richardson,1974,1979,20,,3,11,0,85,,,,5.63,0,906,0,1,1,6
Mike Richter,1990,2003,666,,301,258,73,1840,19219,17379,0.904,2.89,24,38183,0,11,11,34
Curt Ridley,1975,1981,104,,27,47,16,355,,,,3.87,1,5498,0,1,1,17
Vincent Riendeau,1988,1995,184,,85,65,20,573,4786,4213,0.88,3.3,5,10423,0,4,4,14
Dennis Riggin,1960,1963,18,,6,10,2,52,,,,3.12,1,999,0,0,0,0
Pat Riggin,1980,1988,350,,153,120,52,1135,4789,4209,0.879,3.43,11,19872,0,8,8,41
Bob Ring,1966,1966,1,,0,0,0,4,,,,7.27,0,33,0,0,0,0
Pekka Rinne,2006,2015,377,364,204,113,41,848,10537,9689,0.92,2.34,36,21711,0,8,8,36
Fern Rivard,1969,1975,55,,9,27,11,190,,,,3.98,2,2865,0,0,0,10
John Ross Roach,1922,1935,492,,219,204,68,1246,,,,2.46,58,30444,0,0,0,0
Moe Roberts,1926,1952,10,,3,5,0,31,,,,3.71,0,501,0,0,0,0
Earl Robertson,1938,1942,190,,60,95,34,575,,,,2.92,16,11820,0,0,0,0
Al Rollins,1950,1960,430,,141,205,83,1192,,,,2.78,28,25723,0,1,1,43
Dwayne Roloson,1997,2012,606,234,227,257,82,1552,16942,15390,0.908,2.72,29,34297,0,14,14,96
Roberto Romano,1983,1994,126,,46,63,8,471,3800,3347,0.881,3.97,4,7111,0,1,1,6
Mike Rosati,1999,1999,1,,1,0,0,0,12,12,1,0,0,28,0,0,0,0
Dominic Roussel,1992,2001,205,,77,70,23,555,5299,4744,0.895,3.12,7,10665,0,4,4,33
Patrick Roy*,1985,2003,1029,,551,315,131,2546,28353,25807,0.91,2.54,66,60235,0,45,45,262
Cody Rudkowsky,2003,2003,1,,1,0,0,0,10,10,1,0,0,30,0,0,0,0
Pat Rupp,1964,1964,1,,0,1,0,4,,,,4,0,60,0,0,0,0
Jim Rutherford,1971,1983,457,,151,227,59,1576,,,,3.65,14,25895,0,15,15,62
Wayne Rutledge,1968,1970,82,,28,37,9,241,,,,3.34,2,4325,0,0,0,11
Jussi Rynnas,2012,2015,5,2,0,2,0,14,90,76,0.844,4.18,0,201,0,0,0,0
